seq_len,label_len,pred_len,Epoch,Train Loss,Vali Loss,Test Loss,MAE Loss,SMAPE,MASE
10,5,2,1,0.05177266544734056,0.01798919402062893,0.022312588524073362,0.10961773991584778,1.1344210,2.7607551
10,5,2,2,0.03605457552923606,0.025359091814607382,0.029777431394904852,0.11771320551633835,1.2138262,2.2352300
10,5,2,3,0.03329778620256828,0.017302624881267548,0.022444024682044983,0.10427761822938919,1.2514057,2.1813347
10,5,2,4,0.030923111650806207,0.018110199365764856,0.023181416792795062,0.10157136619091034,1.4093424,2.2691514
10,5,2,5,0.02713607591935075,0.016244891565293074,0.02253084711264819,0.09243906289339066,1.1163388,1.9142225
10,5,2,6,0.024634340777993202,0.01384341111406684,0.02016675123013556,0.08529223129153252,0.6220594,1.3690975
10,5,2,7,0.026881205992629893,0.01322217145934701,0.019513297243975103,0.08291459083557129,1.0895282,1.6762439
10,5,2,8,0.026572889039436214,0.0132982456125319,0.019756315043196082,0.08364151045680046,1.1017463,2.4651821
10,5,2,9,0.028022882636063375,0.012961578089743853,0.019914560485631227,0.08065682649612427,0.8492118,1.9446226
10,5,2,10,0.02639699404915938,0.01382342679426074,0.01996395585592836,0.08574751019477844,0.8725877,1.2556392
10,5,2,11,0.024435314779671338,0.013647187501192093,0.01999079459346831,0.08452286198735237,0.7175503,1.5681683
10,5,2,12,0.023302440244991045,0.013375707436352968,0.019978051888756454,0.08405553549528122,0.8577214,1.5567023
10,5,2,13,0.027583114086435392,0.013719606678932905,0.019964908249676228,0.08494850993156433,1.2072604,2.3346231
10,5,2,14,0.02963773637580184,0.013174344785511494,0.020030481624417007,0.0824096966534853,0.8416134,1.3233516
10,5,2,15,0.024026431071643647,0.01336179580539465,0.020013403613120317,0.08372840657830238,0.7025831,1.3898963
10,5,2,16,0.023699129501787517,0.013588553760200739,0.020013554370962083,0.08514389023184776,0.7830740,1.4250503
10,5,2,17,0.025100581276302155,0.01229724264703691,0.020021641394123435,0.07902468740940094,0.7422978,1.3101413
10,5,2,18,0.025923966752508514,0.013210447505116463,0.0200624146964401,0.08184580877423286,0.9356397,1.9060150
10,5,2,19,0.026696955534414604,0.012944445945322514,0.020015008049085736,0.08030440658330917,1.2691344,2.1042836
10,5,2,20,0.016181397430885296,0.013277459889650345,0.02004819200374186,0.08269432932138443,0.9388144,1.5570585
