Epoch: 1 | Train Loss: nan Vali Loss: nan Test Loss: nan MAE Loss: nan
Epoch: 2 | Train Loss: nan Vali Loss: nan Test Loss: nan MAE Loss: nan
Epoch: 3 | Train Loss: nan Vali Loss: nan Test Loss: nan MAE Loss: nan
Epoch: 4 | Train Loss: nan Vali Loss: nan Test Loss: nan MAE Loss: nan
Epoch: 5 | Train Loss: nan Vali Loss: nan Test Loss: nan MAE Loss: nan
Epoch: 6 | Train Loss: nan Vali Loss: nan Test Loss: nan MAE Loss: nan
Epoch: 7 | Train Loss: nan Vali Loss: nan Test Loss: nan MAE Loss: nan
Epoch: 8 | Train Loss: nan Vali Loss: nan Test Loss: nan MAE Loss: nan
Epoch: 9 | Train Loss: nan Vali Loss: nan Test Loss: nan MAE Loss: nan
Epoch: 10 | Train Loss: nan Vali Loss: nan Test Loss: nan MAE Loss: nan
Epoch: 1 | Train Loss: nan Vali Loss: nan Test Loss: nan MAE Loss: nan
Epoch: 1 | Train Loss: nan Vali Loss: nan Test Loss: nan MAE Loss: nan
Epoch: 2 | Train Loss: nan Vali Loss: nan Test Loss: nan MAE Loss: nan
Epoch: 3 | Train Loss: nan Vali Loss: nan Test Loss: nan MAE Loss: nan
Epoch: 4 | Train Loss: nan Vali Loss: nan Test Loss: nan MAE Loss: nan
Epoch: 5 | Train Loss: nan Vali Loss: nan Test Loss: nan MAE Loss: nan
Epoch: 6 | Train Loss: nan Vali Loss: nan Test Loss: nan MAE Loss: nan
Epoch: 7 | Train Loss: nan Vali Loss: nan Test Loss: nan MAE Loss: nan
Epoch: 8 | Train Loss: nan Vali Loss: nan Test Loss: nan MAE Loss: nan
Epoch: 9 | Train Loss: nan Vali Loss: nan Test Loss: nan MAE Loss: nan
Epoch: 10 | Train Loss: nan Vali Loss: nan Test Loss: nan MAE Loss: nan
